Date,ANZ.AX,CBA.AX,NAB.AX,WBC.AX,^AXJO
2018-01-02,17.92671775817871,56.50687789916992,19.163732528686523,20.214290618896484,6061.2998046875
2018-01-03,17.93299102783203,56.450523376464844,19.105403900146484,20.201351165771484,6070.39990234375
2018-01-04,17.88908576965332,56.33077621459961,19.19613265991211,20.117258071899414,6077.10009765625
2018-01-05,18.033348083496094,57.16901779174805,19.34519386291504,20.356597900390625,6122.2998046875
2018-01-08,18.083526611328125,57.493038177490234,19.325748443603516,20.388938903808594,6130.39990234375
2018-01-09,18.152524948120117,57.8945426940918,19.19613265991211,20.408344268798828,6135.7998046875
2018-01-10,18.064712524414062,57.48598861694336,19.118364334106445,20.440685272216797,6096.7001953125
2018-01-11,18.02080726623535,57.26763153076172,19.137807846069336,20.330724716186523,6067.60009765625
2018-01-12,17.88908576965332,56.971771240234375,19.137807846069336,20.246631622314453,6070.10009765625
2018-01-15,17.970623016357422,57.176055908203125,19.098918914794922,20.104318618774414,6077.10009765625
2018-01-16,17.845176696777344,56.760459899902344,19.02115249633789,19.936138153076172,6048.60009765625
2018-01-17,17.78872299194336,56.42939376831055,18.910980224609375,19.813234329223633,6015.7998046875
2018-01-18,17.89535140991211,56.281471252441406,18.943382263183594,20.02022933959961,6014.60009765625
2018-01-19,17.914173126220703,56.23216247558594,18.898014068603516,20.007293701171875,6005.7998046875
2018-01-22,17.75108528137207,55.541866302490234,18.794322967529297,19.77442741394043,5991.89990234375
2018-01-23,18.02080726623535,55.823631286621094,18.91745948791504,19.98141860961914,6037.0
2018-01-24,18.064712524414062,55.40098190307617,18.943382263183594,20.059043884277344,6054.7001953125
2018-01-25,17.970623016357422,55.40098190307617,18.833208084106445,20.007293701171875,6050.0
2018-01-29,17.95808219909668,55.78135299682617,18.962825775146484,20.123727798461914,6075.39990234375
2018-01-30,17.86399269104004,55.710899353027344,18.839689254760742,20.039634704589844,6022.7998046875
2018-01-31,17.92671775817871,55.555946350097656,18.87857437133789,20.026702880859375,6037.7001953125
2018-02-01,18.1274356842041,56.35895919799805,18.98874855041504,20.324254989624023,6090.10009765625
2018-02-02,18.2591552734375,56.90838623046875,19.15724754333496,20.5053768157959,6121.39990234375
2018-02-05,18.027076721191406,56.211036682128906,18.91745948791504,20.25309944152832,6026.2001953125
2018-02-06,17.48764419555664,54.52047348022461,18.35363006591797,19.619178771972656,5833.2998046875
2018-02-07,17.41864585876465,54.09079360961914,18.301780700683594,19.59977149963379,5876.7998046875
2018-02-08,17.556640625,53.8935432434082,18.729516983032227,19.664459228515625,5890.7001953125
2018-02-09,17.493919372558594,53.71040725708008,18.73599624633789,19.632118225097656,5838.0
2018-02-12,17.374736785888672,53.44978713989258,18.586942672729492,19.496273040771484,5820.7001953125
2018-02-13,17.38728141784668,53.745635986328125,18.65822982788086,19.54155921936035,5855.89990234375
2018-02-14,17.33710289001465,53.514156341552734,18.729516983032227,19.51568031311035,5841.2001953125
2018-02-15,17.606821060180664,53.427345275878906,19.001710891723633,19.696805953979492,5909.0
2018-02-16,17.46882438659668,53.543087005615234,18.936901092529297,19.54802703857422,5904.0
2018-02-19,17.594276428222656,53.8179817199707,19.092439651489258,19.625648498535156,5941.60009765625
2018-02-20,17.550369262695312,53.71670150756836,18.98874855041504,19.476871490478516,5940.89990234375
2018-02-21,17.638185501098633,53.767333984375,19.04059600830078,19.51568031311035,5943.7001953125
2018-02-22,17.675819396972656,53.998817443847656,19.13132667541504,19.54802703857422,5950.89990234375
2018-02-23,17.838903427124023,54.58473205566406,19.299829483032227,19.722673416137695,5999.7998046875
2018-02-26,18.089801788330078,55.40937042236328,19.55906105041504,20.09785270690918,6042.2001953125
2018-02-27,18.246610641479492,55.52509307861328,19.708114624023438,20.149600982666016,6056.89990234375
2018-02-28,18.22152328491211,55.25746154785156,19.55906105041504,19.903797149658203,6016.0
2018-03-01,18.064712524414062,55.01874923706055,19.520172119140625,19.852048873901367,5973.2998046875
2018-03-02,17.920442581176758,54.78004455566406,19.494251251220703,19.8649845123291,5928.89990234375
2018-03-05,17.807538986206055,54.273681640625,19.39055633544922,19.619178771972656,5959.5
2018-03-06,17.92671775817871,54.751102447509766,19.50720977783203,19.64505386352539,5962.39990234375
2018-03-07,17.70090675354004,54.353271484375,19.24798011779785,19.32809066772461,5902.0
2018-03-08,17.782447814941406,55.09831237792969,19.494251251220703,19.405717849731445,5942.89990234375
2018-03-09,17.832630157470703,55.604671478271484,19.630348205566406,19.46393394470215,5963.2001953125
2018-03-12,17.939258575439453,55.959110260009766,19.701635360717773,19.57390022277832,5996.10009765625
2018-03-13,17.87026596069336,55.7348747253418,19.66922950744629,19.53508949279785,5974.7001953125
2018-03-14,17.77617835998535,55.37319564819336,19.429439544677734,19.366907119750977,5935.2998046875
2018-03-15,17.594276428222656,54.81620788574219,19.228538513183594,19.1987247467041,5920.7998046875
2018-03-16,17.581727981567383,54.497928619384766,19.124847412109375,19.09522819519043,5949.39990234375
2018-03-19,17.56918716430664,54.17241668701172,19.014673233032227,19.09522819519043,5959.39990234375
2018-03-20,17.594276428222656,54.38941955566406,18.975788116455078,19.166379928588867,5936.39990234375
2018-03-21,17.75108528137207,54.81620788574219,19.15724754333496,19.276344299316406,5950.2998046875
2018-03-22,17.675819396972656,54.15794372558594,19.092439651489258,19.146974563598633,5937.2001953125
2018-03-23,17.374736785888672,52.66782760620117,18.774879455566406,18.66183090209961,5820.7001953125
2018-03-26,17.2618350982666,52.096370697021484,18.651748657226562,18.54539680480957,5790.5
2018-03-27,17.19283676147461,52.392940521240234,18.561017990112305,18.564804077148438,5832.2998046875
2018-03-28,16.998388290405273,51.98063659667969,18.405473709106445,18.487180709838867,5789.5
2018-03-29,16.847854614257812,52.30613708496094,18.46380043029785,18.51305389404297,5759.39990234375
2018-04-03,16.65340805053711,52.26998519897461,18.424917221069336,18.519519805908203,5751.89990234375
2018-04-04,16.64713478088379,52.66059494018555,18.476764678955078,18.590679168701172,5761.39990234375
